  14.641 0.0   -0.128 0.0 
  14.671 0.0   -0.125 0.0 
  14.702 0.0   -0.122 0.0 
  14.735 0.0   -0.119 0.0 
  14.762 0.0   -0.115 0.0 
  14.797 0.0   -0.111 0.0 
  14.826 0.0   -0.106 0.0 
  14.856 0.0   -0.100 0.0 
  14.887 0.0   -0.094 0.0 
  14.917 0.0   -0.088 0.0 
  14.944 0.0   -0.082 0.0 
  14.974 0.0   -0.076 0.0 
  15.007 0.0   -0.070 0.0 
  15.038 0.0   -0.063 0.0 
  15.065 0.0   -0.057 0.0 
  15.100 0.0   -0.050 0.0 
  15.126 0.0   -0.046 0.0 
  15.155 0.0   -0.040 0.0 
  15.185 0.0   -0.034 0.0 
  15.218 0.0   -0.028 0.0 
  15.246 0.0   -0.021 0.0 
  15.276 0.0   -0.014 0.0 
  15.307 0.0   -0.007 0.0 
  15.341 0.0    0.001 0.0 
  15.368 0.0    0.009 0.0 
  15.401 0.0    0.017 0.0 
  15.428 0.0    0.025 0.0 
  15.463 0.0    0.031 0.0 
  15.493 0.0    0.038 0.0 
  15.523 0.0    0.045 0.0 
  15.550 0.0    0.051 0.0 
  15.583 0.0    0.058 0.0 
  15.614 0.0    0.065 0.0 
  15.644 0.0    0.073 0.0 
  15.674 0.0    0.079 0.0 
  15.705 0.0    0.085 0.0 
  15.734 0.0    0.092 0.0 
  15.761 0.0    0.098 0.0 
  15.796 0.0    0.104 0.0 
  15.826 0.0    0.110 0.0 
  15.852 0.0    0.115 0.0 
  15.886 0.0    0.121 0.0 
  15.913 0.0    0.125 0.0 
  15.943 0.0    0.130 0.0 
  15.976 0.0    0.134 0.0 
  16.006 0.0    0.138 0.0 
  16.034 0.0    0.142 0.0 
  16.063 0.0    0.145 0.0 
  16.099 0.0    0.149 0.0 
  16.127 0.0    0.152 0.0 
  16.159 0.0    0.154 0.0 
  16.188 0.0    0.156 0.0 
  16.216 0.0    0.157 0.0 
  16.246 0.0    0.157 0.0 
  16.278 0.0    0.157 0.0 
  16.309 0.0    0.157 0.0 
  16.336 0.0    0.156 0.0 
  16.366 0.0    0.155 0.0 
  16.401 0.0    0.154 0.0 
  16.426 0.0    0.153 0.0 
  16.460 0.0    0.151 0.0 
  16.492 0.0    0.149 0.0 
  16.520 0.0    0.146 0.0 
  16.551 0.0    0.144 0.0 
  16.581 0.0    0.142 0.0 
  16.612 0.0    0.139 0.0 
  16.641 0.0    0.136 0.0 
  16.668 0.0    0.132 0.0 
  16.703 0.0    0.129 0.0 
  16.733 0.0    0.125 0.0 
  16.760 0.0    0.120 0.0 
  16.794 0.0    0.116 0.0 
  16.823 0.0    0.112 0.0 
  16.851 0.0    0.104 0.0 
  16.880 0.0    0.097 0.0 
  16.914 0.0    0.087 0.0 
  16.944 0.0    0.078 0.0 
  16.974 0.0    0.069 0.0 
  17.004 0.0    0.060 0.0 
  17.034 0.0    0.051 0.0 
  17.066 0.0    0.041 0.0 
  17.095 0.0    0.032 0.0 
  17.125 0.0    0.022 0.0 
  17.156 0.0    0.015 0.0 
  17.186 0.0    0.008 0.0 
  17.216 0.0    0.003 0.0 
  17.242 0.0   -0.002 0.0 
  17.273 0.0   -0.007 0.0 
  17.304 0.0   -0.011 0.0 
  17.337 0.0   -0.016 0.0 
  17.364 0.0   -0.021 0.0 
  17.398 0.0   -0.026 0.0 
  17.428 0.0   -0.031 0.0 
  17.455 0.0   -0.038 0.0 
  17.484 0.0   -0.045 0.0 
  17.515 0.0   -0.052 0.0 
  17.544 0.0   -0.059 0.0 
  17.576 0.0   -0.066 0.0 
  17.605 0.0   -0.072 0.0 
  17.635 0.0   -0.079 0.0 
  17.665 0.0   -0.086 0.0 
  17.700 0.0   -0.091 0.0 
  17.730 0.0   -0.097 0.0 
  17.757 0.0   -0.101 0.0 
  17.790 0.0   -0.105 0.0 
  17.817 0.0   -0.109 0.0 
  17.851 0.0   -0.113 0.0 
  17.882 0.0   -0.116 0.0 
  17.911 0.0   -0.120 0.0 
  17.941 0.0   -0.123 0.0 
  17.971 0.0   -0.127 0.0 
  17.999 0.0   -0.130 0.0 
  18.030 0.0   -0.134 0.0 
  18.062 0.0   -0.137 0.0 
  18.093 0.0   -0.139 0.0 
  18.123 0.0   -0.141 0.0 
  18.151 0.0   -0.143 0.0 
  18.180 0.0   -0.145 0.0 
  18.214 0.0   -0.146 0.0 
  18.244 0.0   -0.148 0.0 
  18.274 0.0   -0.149 0.0 
  18.302 0.0   -0.149 0.0 
  18.334 0.0   -0.148 0.0 
  18.365 0.0   -0.148 0.0 
  18.392 0.0   -0.147 0.0 
  18.422 0.0   -0.146 0.0 
  18.454 0.0   -0.145 0.0 
  18.483 0.0   -0.143 0.0 
  18.513 0.0   -0.141 0.0 
  18.546 0.0   -0.138 0.0 
  18.573 0.0   -0.135 0.0 
  18.604 0.0   -0.132 0.0 
  18.636 0.0   -0.129 0.0 
  18.668 0.0   -0.125 0.0 
  18.697 0.0   -0.121 0.0 
  18.729 0.0   -0.118 0.0 
  18.755 0.0   -0.114 0.0 
  18.785 0.0   -0.110 0.0 
  18.815 0.0   -0.106 0.0 
  18.849 0.0   -0.102 0.0 
  18.880 0.0   -0.097 0.0 
  18.910 0.0   -0.093 0.0 
  18.940 0.0   -0.088 0.0 
  18.971 0.0   -0.083 0.0 
  18.997 0.0   -0.078 0.0 
  19.028 0.0   -0.073 0.0 
  19.058 0.0   -0.067 0.0 
  19.087 0.0   -0.061 0.0 
  19.118 0.0   -0.054 0.0 
  19.148 0.0   -0.047 0.0 
  19.178 0.0   -0.040 0.0 
  19.209 0.0   -0.031 0.0 
  19.243 0.0   -0.023 0.0 
  19.273 0.0   -0.014 0.0 
  19.303 0.0   -0.006 0.0 
  19.334 0.0    0.002 0.0 
  19.360 0.0    0.010 0.0 
  19.390 0.0    0.017 0.0 
  19.424 0.0    0.025 0.0 
  19.452 0.0    0.031 0.0 
  19.481 0.0    0.037 0.0 
  19.515 0.0    0.041 0.0 
  19.546 0.0    0.045 0.0 
  19.576 0.0    0.051 0.0 
  19.606 0.0    0.056 0.0 
  19.637 0.0    0.062 0.0 
  19.663 0.0    0.067 0.0 
  19.694 0.0    0.072 0.0 
  19.727 0.0    0.077 0.0 
  19.758 0.0    0.083 0.0 
  19.789 0.0    0.089 0.0 
  19.819 0.0    0.096 0.0 
  19.845 0.0    0.101 0.0 
  19.875 0.0    0.106 0.0 
  19.909 0.0    0.110 0.0 
  19.940 0.0    0.114 0.0 
  19.967 0.0    0.118 0.0 
  20.000 0.0    0.122 0.0 
  20.030 0.0    0.126 0.0 
  20.060 0.0    0.129 0.0 
  20.090 0.0    0.131 0.0 
  20.121 0.0    0.133 0.0 
  20.151 0.0    0.135 0.0 
  20.178 0.0    0.137 0.0 
  20.209 0.0    0.138 0.0 
  20.239 0.0    0.139 0.0 
  20.274 0.0    0.140 0.0 
  20.304 0.0    0.141 0.0 
  20.334 0.0    0.141 0.0 
  20.363 0.0    0.141 0.0 
  20.390 0.0    0.140 0.0 
  20.420 0.0    0.139 0.0 
  20.452 0.0    0.137 0.0 
  20.481 0.0    0.136 0.0 
  20.510 0.0    0.134 0.0 
  20.545 0.0    0.132 0.0 
  20.575 0.0    0.130 0.0 
  20.606 0.0    0.127 0.0 
  20.635 0.0    0.125 0.0 
  20.662 0.0    0.122 0.0 
  20.692 0.0    0.120 0.0 
  20.726 0.0    0.117 0.0 
  20.757 0.0    0.112 0.0 
  20.783 0.0    0.107 0.0 
  20.817 0.0    0.102 0.0 
  20.848 0.0    0.097 0.0 
  20.877 0.0    0.091 0.0 
  20.906 0.0    0.086 0.0 
  20.936 0.0    0.080 0.0 
  20.965 0.0    0.075 0.0 
  20.995 0.0    0.069 0.0 
  21.029 0.0    0.064 0.0 
  21.056 0.0    0.059 0.0 
  21.086 0.0    0.053 0.0 
  21.116 0.0    0.047 0.0 
  21.150 0.0    0.040 0.0 
  21.176 0.0    0.032 0.0 
  21.207 0.0    0.024 0.0 
  21.240 0.0    0.016 0.0 
  21.270 0.0    0.008 0.0 
  21.300 0.0   -0.000 0.0 
  21.331 0.0   -0.008 0.0 
  21.361 0.0   -0.015 0.0 
  21.392 0.0   -0.021 0.0 
  21.422 0.0   -0.027 0.0 
  21.452 0.0   -0.031 0.0 
  21.483 0.0   -0.035 0.0 
  21.513 0.0   -0.039 0.0 
  21.540 0.0   -0.043 0.0 
  21.573 0.0   -0.047 0.0 
  21.604 0.0   -0.053 0.0 
  21.634 0.0   -0.060 0.0 
  21.664 0.0   -0.065 0.0 
  21.695 0.0   -0.071 0.0 
  21.725 0.0   -0.077 0.0 
  21.752 0.0   -0.082 0.0 
  21.785 0.0   -0.088 0.0 
  21.816 0.0   -0.093 0.0 
  21.846 0.0   -0.098 0.0 
  21.872 0.0   -0.103 0.0 
  21.906 0.0   -0.106 0.0 
  21.933 0.0   -0.109 0.0 
  21.967 0.0   -0.112 0.0 
  21.997 0.0   -0.114 0.0 
  22.023 0.0   -0.117 0.0 
  22.058 0.0   -0.119 0.0 
  22.088 0.0   -0.122 0.0 
  22.118 0.0   -0.124 0.0 
  22.148 0.0   -0.126 0.0 
  22.178 0.0   -0.128 0.0 
  22.205 0.0   -0.130 0.0 
  22.240 0.0   -0.132 0.0 
  22.266 0.0   -0.133 0.0 
  22.300 0.0   -0.134 0.0 
  22.327 0.0   -0.135 0.0 
  22.357 0.0   -0.135 0.0 
  22.391 0.0   -0.136 0.0 
  22.417 0.0   -0.135 0.0 
  22.451 0.0   -0.135 0.0 
  22.481 0.0   -0.134 0.0 
  22.512 0.0   -0.132 0.0 
  22.538 0.0   -0.131 0.0 
  22.568 0.0   -0.129 0.0 
  22.603 0.0   -0.128 0.0 
  22.633 0.0   -0.125 0.0 
  22.663 0.0   -0.121 0.0 
  22.691 0.0   -0.118 0.0 
  22.720 0.0   -0.114 0.0 
  22.754 0.0   -0.111 0.0 
  22.784 0.0   -0.107 0.0 
  22.815 0.0   -0.103 0.0 
